id,time,NTrial,NResp,NInclude,PE,MRT,IES,hitRate,FARate,dprime,c
1,2014/5/10 8:37,72,72,72,0.236111111,1.301017797,1.70315057,0.916666667,0.3125,1.871770538,-0.447108858
2,2014/5/10 8:52,72,72,72,0.055555556,0.659362612,0.698148648,0.958333333,0.0625,3.26578494,-0.098771926
3,2014/5/10 8:56,72,71,72,0.236111111,0.47233252,0.618326208,0.5,0.104166667,1.258161561,0.629080781
4,2007/1/1 1:16,72,72,72,0.055555556,0.611646033,0.647625211,0.875,0.020833333,3.187183512,0.443242376
5,2014/5/10 8:54,72,72,72,0.166666667,0.915885824,1.099062989,0.75,0.125,1.824839131,0.237929815
6,2014/5/10 8:52,72,72,72,0.25,1.094379692,1.459172922,0.708333333,0.229166667,1.290116327,0.096535881
7,2014/5/18 9:10,72,71,72,0.208333333,1.343021701,1.696448465,0.708333333,0.166666667,1.515943849,0.209449642
8,2014/5/11 8:38,72,72,72,0.263888889,1.002710571,1.362172852,0.708333333,0.25,1.223012033,0.062983734
9,2014/5/11 8:50,72,71,72,0.138888889,0.556987358,0.646824029,0.875,0.145833333,2.204821832,-0.047938464
10,2014/5/11 8:32,72,72,72,0.263888889,0.847865332,1.151817055,0.875,0.333333333,1.58107668,-0.359811041
11,2014/5/11 8:32,72,72,72,0.027777778,0.668167605,0.687258108,1,0.041666667,4.05801227,-0.297341739
12,2014/5/10 8:47,72,71,72,0.333333333,1.153816007,1.73072401,0.833333333,0.416666667,1.17784996,-0.378496586
13,2014/5/10 8:26,72,71,71,0.084507042,1.484763245,1.621818313,0.791666667,0.021276596,2.840286946,0.607925672
14,2014/5/10 8:50,72,72,71,0.169014085,0.942812739,1.134571262,0.791666667,0.14893617,1.853224713,0.114394555
15,2014/5/10 8:45,72,72,72,0.041666667,1.139828102,1.189385846,0.875,0,3.476697254,0.587999247
16,2014/5/10 9:07,72,72,72,0.083333333,0.989076853,1.07899293,0.958333333,0.104166667,2.989825957,-0.236751418
17,2014/5/18 9:05,72,72,72,0.388888889,0.853146219,1.39605745,0.541666667,0.354166667,0.478728866,0.134730977
18,2014/5/24 9:11,72,71,72,0.069444444,1.320582175,1.419133083,0.833333333,0.020833333,3.004255698,0.534706283
19,2014/5/24 8:57,72,68,72,0.263888889,1.41356847,1.920319431,0.708333333,0.25,1.223012033,0.062983734
20,2014/5/17 8:58,72,72,72,0.027777778,0.488359654,0.502312787,0.916666667,0,3.709342001,0.471676873
21,2014/5/11 8:51,72,72,72,0.277777778,0.690562685,0.956163718,0.541666667,0.1875,0.991780015,0.391256552
22,2007/1/1 0:59,72,72,72,0.222222222,1.305189703,1.678101047,0.791666667,0.229166667,1.553811845,-0.035311879
23,2014/5/11 9:04,72,71,72,0.125,1.12727446,1.288313669,0.791666667,0.083333333,2.195211929,0.285388163
24,2014/5/11 8:42,72,72,72,0.083333333,0.754515575,0.8231079,0.875,0.0625,2.684469925,0.191885582
25,2014/5/11 8:54,72,72,72,0.305555556,0.658643807,0.948447082,0.916666667,0.416666667,1.593422521,-0.586282866
26,2014/5/11 8:55,72,72,72,0.083333333,0.831259591,0.906828645,0.916666667,0.083333333,2.765988254,0
27,2014/5/17 8:59,72,72,72,0.041666667,0.805314239,0.840327902,0.958333333,0.041666667,3.463328792,0
28,2014/5/17 8:58,72,71,72,0.333333333,1.055272793,1.58290919,0.625,0.3125,0.807415775,0.085068524
34,2014/5/17 8:49,72,72,72,0.013888889,0.56963449,0.577657511,0.958333333,0,4.05801227,0.297341739
35,2014/5/17 8:58,72,72,72,0.069444444,0.5792148,0.622439785,0.875,0.041666667,2.882013776,0.290657508
36,2014/5/17 9:02,72,70,71,0.183098592,1.519651434,1.860262962,0.875,0.212765957,1.947210119,-0.176744321
37,2014/5/17 9:03,72,65,71,0.309859155,1.376240026,1.994143711,0.608695652,0.270833333,0.886215673,0.167186774
38,2014/5/17 8:37,72,72,72,0.069444444,1.097930402,1.179865506,0.833333333,0.020833333,3.004255698,0.534706283
39,2014/5/17 8:43,72,70,72,0.305555556,1.177348395,1.695381689,0.75,0.333333333,1.105217049,-0.121881225
40,2007/1/1 0:51,72,71,72,0.111111111,0.876156763,0.985676359,0.875,0.104166667,2.408510941,0.05390609
41,2014/5/17 9:49,72,72,72,0.111111111,0.539387292,0.606810703,0.75,0.041666667,2.406154146,0.528587323
42,2014/5/17 9:00,72,72,71,0.126760563,1.276355585,1.461633009,0.916666667,0.14893617,2.424001039,-0.170993608
43,2014/5/18 8:44,72,72,70,0.071428571,1.337263865,1.440130316,1,0.106382979,3.572343619,-0.540176065
44,2014/5/18 8:41,72,72,72,0.111111111,0.735548526,0.827492092,0.916666667,0.125,2.533343507,-0.116322373
45,2014/5/18 8:41,72,71,72,0.097222222,0.826103669,0.915068679,0.791666667,0.041666667,2.543882198,0.459723297
46,2014/5/18 8:43,72,72,72,0.111111111,0.909214616,1.022866443,0.875,0.104166667,2.408510941,0.05390609
47,2014/5/24 8:54,72,69,72,0.166666667,0.667581498,0.801097797,0.875,0.1875,2.037495939,-0.131601411
48,2014/5/24 9:02,72,67,72,0.333333333,0.650302989,0.975454483,0.708333333,0.354166667,0.922617693,-0.087213436
49,2014/5/24 9:00,72,71,72,0.236111111,0.741366416,0.970516035,0.708333333,0.208333333,1.360740084,0.131847759
50,2014/5/24 9:00,72,71,72,0.125,1.371684291,1.56763919,0.833333333,0.104166667,2.225583127,0.145369997
51,2014/5/24 9:12,72,72,72,0.222222222,1.177538481,1.513978047,0.583333333,0.125,1.360777775,0.469960493
52,2014/5/24 9:02,72,72,72,0.041666667,0.548611277,0.572463941,0.916666667,0.020833333,3.419828259,0.326920002
53,2014/5/24 8:54,72,72,72,0.138888889,0.621019579,0.721184027,0.791666667,0.104166667,2.070379363,0.22297188
54,2014/5/24 8:42,72,72,72,0.013888889,0.762121579,0.772855685,0.958333333,0,4.05801227,0.297341739
55,2014/5/24 8:52,72,72,72,0.013888889,0.852751741,0.864762329,1,0.020833333,4.363182006,-0.144756871
56,2014/5/24 8:46,72,71,72,0.097222222,1.248059033,1.38246539,0.875,0.083333333,2.533343507,0.116322373
57,2014/5/18 8:46,72,65,72,0.319444444,0.755709526,1.110430324,0.5,0.229166667,0.741594044,0.370797022
58,2014/5/18 9:00,72,72,72,0.111111111,0.84780928,0.95378544,0.916666667,0.125,2.533343507,-0.116322373
59,2014/5/18 8:49,72,72,72,0.027777778,0.723349975,0.744017117,0.916666667,0,3.709342001,0.471676873
60,2014/5/24 9:40,72,72,72,0.347222222,0.859200039,1.316221337,1,0.520833333,2.274102694,-1.189296527
66,2014/5/24 8:42,72,72,72,0.013888889,0.762121579,0.772855685,0.958333333,0,4.05801227,0.297341739
67,2014/5/24 8:52,72,72,72,0.013888889,0.852751741,0.864762329,1,0.020833333,4.363182006,-0.144756871
68,2014/5/24 8:46,72,71,72,0.097222222,1.248059033,1.38246539,0.875,0.083333333,2.533343507,0.116322373
69,2014/5/24 9:01,72,59,71,0.352112676,1.437706252,2.219068346,0.695652174,0.375,0.830575578,-0.096648425
70,2014/5/24 8:54,72,72,72,0.138888889,0.621019579,0.721184027,0.791666667,0.104166667,2.070379363,0.22297188
71,2014/5/24 8:42,72,72,72,0.013888889,0.762121579,0.772855685,0.958333333,0,4.05801227,0.297341739
72,2014/5/24 8:52,72,72,72,0.013888889,0.852751741,0.864762329,1,0.020833333,4.363182006,-0.144756871
73,2014/5/24 8:46,72,71,72,0.097222222,1.248059033,1.38246539,0.875,0.083333333,2.533343507,0.116322373
74,2014/5/25 8:45,72,72,72,0.138888889,0.74849774,0.869223182,0.833333333,0.125,2.117770946,0.091463907
75,2014/5/25 8:41,72,71,72,0.375,0.9827883,1.572461279,0.708333333,0.416666667,0.758950677,-0.169046944
76,2014/5/25 8:45,72,71,72,0.083333333,0.684160095,0.746356467,0.958333333,0.104166667,2.989825957,-0.236751418
77,2014/5/31 8:52,72,69,72,0.097222222,0.964381885,1.068238396,0.958333333,0.125,2.882013776,-0.290657508
78,2014/5/31 8:53,72,71,71,0.366197183,1.239979778,1.956412539,0.625,0.361702128,0.672552136,0.017636704
79,2014/5/31 9:08,72,72,72,0.111111111,0.804590462,0.90516427,0.833333333,0.083333333,2.350415693,0.20778628
80,2014/5/25 8:42,72,72,72,0.166666667,0.548968609,0.658762331,0.833333333,0.166666667,1.934843132,0
81,2014/5/25 8:59,72,72,71,0.253521127,0.775940304,1.0394672,0.75,0.255319149,1.332333875,-0.008322813
82,2014/5/25 8:43,72,72,72,0.277777778,0.814172917,1.127316346,0.875,0.354166667,1.524444791,-0.388126985
83,2014/5/25 8:51,72,72,72,0.097222222,1.367159966,1.514392577,0.75,0.020833333,2.711323882,0.681172191
84,2014/5/25 8:54,72,72,72,0.333333333,1.036092191,1.554138287,0.791666667,0.395833333,1.076364778,-0.274035412
85,2014/5/25 8:45,72,70,71,0.38028169,1.330069057,2.146247796,0.625,0.382978723,0.616306214,-0.010486257
86,2014/5/25 8:53,72,72,72,0.111111111,1.056020586,1.188023159,0.875,0.104166667,2.408510941,0.05390609
87,2014/5/25 9:00,72,70,71,0.281690141,1.42085942,1.978059192,0.875,0.361702128,1.504262152,-0.398218304
88,2014/5/18 9:05,72,72,72,0.041666667,0.574352486,0.599324333,0.958333333,0.041666667,3.463328792,0
89,2014/7/24 8:41,72,72,72,0.041666667,0.83407056,0.870334497,0.916666667,0.020833333,3.419828259,0.326920002
90,2014/5/18 9:02,72,69,72,0.305555556,1.039805957,1.497320578,0.666666667,0.291666667,0.979249582,0.058897492
91,2014/5/18 8:45,72,69,72,0.263888889,1.009776415,1.371771734,0.75,0.270833333,1.28478436,-0.03209757
92,2014/5/18 8:57,72,70,72,0.263888889,0.570145695,0.774537548,0.708333333,0.25,1.223012033,0.062983734
97,2014/5/10 8:43,72,72,72,0.194444444,0.670712864,0.832609073,0.666666667,0.125,1.58107668,0.359811041
98,2014/5/10 8:27,72,72,72,0.277777778,0.955043642,1.32236812,0.791666667,0.3125,1.300994213,-0.161720695
99,2014/5/10 9:00,72,72,72,0.055555556,0.650459251,0.688721559,0.875,0.020833333,3.187183512,0.443242376
100,2014/5/18 9:02,72,71,71,0.253521127,1.146143074,1.535399212,0.75,0.255319149,1.332333875,-0.008322813
